iter	MultiClass
125	0.7097434302
126	0.7087596535
127	0.7073679986
128	0.7062260451
129	0.7040547306
130	0.7021359611
131	0.7001462328
132	0.6977698768
133	0.6966771199
134	0.6946753804
135	0.6927939213
136	0.6918959632
137	0.6902667525
138	0.6885622536
139	0.6875186716
140	0.6868975461
141	0.6840424928
142	0.6817267988
143	0.6803680101
144	0.6785998106
145	0.6759599616
146	0.6743927958
147	0.6723460945
148	0.6717858953
149	0.6706351585
150	0.6698049603
151	0.6681633006
152	0.6667358339
153	0.6655841546
154	0.6639578048
155	0.66263077
156	0.6618990582
157	0.6609249625
158	0.6603430627
159	0.6590491256
160	0.6565733515
161	0.6549995446
162	0.6540537164
163	0.6535662757
164	0.6522766129
165	0.6508235356
166	0.6491178144
167	0.6477688779
168	0.6464824144
169	0.6452646044
170	0.6432787312
171	0.642776837
172	0.6409311629
173	0.639747976
174	0.63901258
175	0.6380505912
176	0.636831286
177	0.6359105128
178	0.6345242228
179	0.6335861232
180	0.6326315707
181	0.6320702866
182	0.6310614779
183	0.629006691
184	0.6275616388
185	0.6265013394
186	0.6251356247
187	0.6246685265
188	0.6242533429
189	0.6232615903
190	0.6223748347
191	0.6212044761
192	0.6202495644
193	0.619899727
194	0.6191405345
195	0.6185134113
196	0.61742244
197	0.6157905875
198	0.6148224618
199	0.6145644275
200	0.6134343651
201	0.6123597102
202	0.6113868565
203	0.6111089726
204	0.6098552802
205	0.6094204981
206	0.6086074433
207	0.607951371
208	0.6071537829
209	0.6067825301
210	0.6061237798
211	0.6055989331
212	0.6046389074
213	0.6040230824
214	0.6035058413
215	0.6028804779
216	0.6024605542
217	0.6010981918
218	0.6002720535
219	0.5996468481
220	0.5990283938
221	0.5985029801
222	0.5977959836
223	0.5970898346
224	0.5968384798
225	0.5962858793
226	0.5954414
227	0.5950540781
228	0.5944586223
229	0.5942415506
230	0.593753949
231	0.5935781954
232	0.5929469673
233	0.592178385
234	0.5916042268
235	0.5905700874
236	0.589959483
237	0.589465986
238	0.5892077711
239	0.5885371706
240	0.5880900351
241	0.5870487086
242	0.5867924284
243	0.5859154836
244	0.585075834
245	0.5845907866
246	0.5836592938
247	0.5829523806
248	0.5825060913
249	0.5818497946
250	0.5810090964
251	0.5802025328
252	0.5794792109
253	0.5788753439
254	0.5786447449
255	0.5782817948
256	0.5775376174
257	0.5769144806
258	0.5760917917
259	0.5758891902
260	0.5757149387
261	0.5753343719
262	0.5751123383
263	0.5747729253
264	0.5744741898
265	0.5743056273
266	0.5737644309
267	0.5735423181
268	0.5731924494
269	0.57301454
270	0.572388579
271	0.5716520372
272	0.5712590841
273	0.5710328748
274	0.5705112827
275	0.5698806548
276	0.5694250892
277	0.5687983421
278	0.5685979812
279	0.5681996078
280	0.5675643371
281	0.5668663278
282	0.5661278568
283	0.5658596259
284	0.5653997206
285	0.5650943295
286	0.5642399603
287	0.5635940493
288	0.5634693754
289	0.5633126134
290	0.5629599924
291	0.5625672241
292	0.5623457596
293	0.5621564533
294	0.5618897691
295	0.5612438875
296	0.5605174993
297	0.5597739634
298	0.5588099147
299	0.5581784961
300	0.5576064253
301	0.5567039385
302	0.5565075231
303	0.55599872
304	0.5555927744
305	0.5552117375
306	0.5541989455
307	0.5540225824
308	0.5533055553
309	0.553167053
310	0.5527526889
311	0.5523079003
312	0.5517546452
313	0.5516277091
314	0.5511261977
315	0.5506263529
316	0.5504580587
317	0.5500086856
318	0.5492383111
319	0.549099069
320	0.5488791177
321	0.5486957281
322	0.5484467222
323	0.5483306651
324	0.5478579566
325	0.5477185228
326	0.5475466011
327	0.5473347549
328	0.5470644315
329	0.546737471
330	0.5463945205
331	0.5460341869
332	0.5458504462
333	0.545696905
334	0.5453805706
335	0.5452424666
336	0.5448122739
337	0.5446629901
338	0.5440949357
339	0.5436695413
340	0.5435259625
341	0.5431283429
342	0.5426175127
343	0.5425538146
344	0.5424571696
345	0.5422477009
346	0.541520448
347	0.540961447
348	0.5404898617
349	0.5398049066
350	0.5395530568
351	0.5391886128
352	0.5389556168
353	0.5388279184
354	0.5385164688
355	0.537927989
356	0.5376576823
357	0.5368711145
358	0.5364719868
359	0.5360817852
360	0.5354326342
361	0.5350198408
362	0.5348404465
363	0.5346340591
364	0.5343824505
365	0.5336430022
366	0.5335313319
367	0.53333037
368	0.5329955044
369	0.5328272349
370	0.5324832189
371	0.5321655143
372	0.531451273
373	0.5313099068
374	0.5311601527
375	0.5308837882
376	0.5305765236
377	0.5304126287
378	0.5302165004
379	0.5300845808
380	0.5299512649
381	0.5294169628
382	0.5290750862
383	0.5288252796
384	0.5286858062
385	0.528550179
386	0.5281630753
387	0.5275749044
388	0.5274652232
389	0.5273506923
390	0.5271176539
391	0.5266916534
392	0.5263569881
393	0.5259953293
394	0.5254534678
395	0.5249999012
396	0.5246650637
397	0.5243280724
398	0.5240446155
399	0.5236392579
400	0.5235699491
401	0.5233538086
402	0.5230984886
403	0.5225801375
404	0.5223695858
405	0.5221398895
406	0.5220273036
407	0.521935569
408	0.5213399068
409	0.5209190468
410	0.5208125308
411	0.5204003341
412	0.5200928283
413	0.5196364796
414	0.5192275998
415	0.5187647967
416	0.518607476
417	0.5185215926
418	0.5183291046
419	0.5182843166
420	0.5179953798
421	0.5175906602
422	0.5174075953
423	0.5172481648
424	0.5171654093
425	0.5169870984
426	0.5168840785
427	0.5163609533
428	0.5161314662
429	0.5152627741
430	0.5151038441
431	0.514792649
432	0.5144527164
433	0.5140532326
434	0.5137409124
435	0.5135519182
436	0.5131058248
437	0.5128356187
438	0.5126205623
439	0.5122914972
440	0.512162411
441	0.5120930126
442	0.5120161304
443	0.5117016128
444	0.511499847
445	0.5114375086
446	0.5112105718
447	0.5110416719
448	0.5108648431
449	0.5105882852
450	0.5105141154
451	0.5101816548
452	0.5100727201
453	0.5098435675
454	0.5094349071
455	0.5093372278
456	0.5089706711
457	0.5086336168
458	0.508179457
459	0.5081095895
460	0.5077569502
461	0.5076602564
462	0.5072031693
463	0.5068555555
464	0.5067131215
465	0.5063850399
466	0.5062861686
467	0.5062565538
468	0.5056695384
469	0.5054747029
470	0.505403254
471	0.5052462408
472	0.5050661308
473	0.5045853645
474	0.5041642527
475	0.5040290877
476	0.5037857285
477	0.503517844
478	0.5031787282
479	0.5030617037
480	0.5030275435
481	0.5028889032
482	0.5026314463
483	0.502102492
484	0.5019715075
485	0.5016970455
486	0.5015725256
487	0.501212787
488	0.5010978409
489	0.5007434106
490	0.5003267066
491	0.5002323176
492	0.5000215628
493	0.4996734916
494	0.4995141344
495	0.4994394045
496	0.4991797442
497	0.4990636258
498	0.4988862221
499	0.4984237666
500	0.4983401971
501	0.4982309724
502	0.4979162791
503	0.4977345451
504	0.4976058929
505	0.4974679312
506	0.4973118617
507	0.4972559975
508	0.4971058589
509	0.4967334551
510	0.4965900853
511	0.4963153081
512	0.4959289085
513	0.4956504502
514	0.4952137577
515	0.4950287417
516	0.4946274107
517	0.4944050707
518	0.4942431485
519	0.4941230461
520	0.4940608622
521	0.4939808102
522	0.493514363
523	0.4934230859
524	0.4932017325
525	0.4930812489
526	0.4929964716
527	0.4928584
528	0.4927578881
529	0.4925939138
530	0.4924704102
531	0.4922349508
532	0.4917683026
533	0.4912707057
534	0.491188387
535	0.4907969802
536	0.4907386947
537	0.4906420642
538	0.490444911
539	0.4901100715
540	0.4899134712
541	0.4898205006
542	0.489694022
543	0.4894842118
544	0.4892355042
545	0.488982784
546	0.488882106
547	0.4887480295
548	0.4886376878
549	0.48838102
550	0.4881391937
551	0.4880481245
552	0.4878414749
553	0.4877163262
554	0.487564309
555	0.487403112
556	0.4873191344
557	0.4868572184
558	0.4866762218
559	0.4865480124
560	0.4863622928
561	0.486288735
562	0.4862432629
563	0.4859913495
564	0.4858378316
565	0.4855381274
566	0.4853402068
567	0.4850522779
568	0.484918514
569	0.4847492292
570	0.4846525301
571	0.4842334458
572	0.4839775135
573	0.48390127
574	0.4835782866
575	0.4834997262
576	0.483133734
577	0.4830172274
578	0.4829253243
579	0.4827650258
580	0.4825746732
581	0.4824827445
582	0.4824554432
583	0.4823737236
584	0.4823067526
585	0.4821923437
586	0.4820897151
587	0.4817906177
588	0.481735877
589	0.481626346
590	0.4814782871
591	0.4813443913
592	0.4811869602
593	0.4810089839
594	0.4806904149
595	0.4806458362
596	0.4803938039
597	0.4802219751
598	0.4800947847
599	0.4797277098
600	0.4796232622
601	0.4795445502
602	0.4794526729
603	0.4791443571
604	0.4790734207
605	0.4789321295
606	0.4788006785
607	0.4786146867
608	0.478509659
609	0.4783992658
610	0.4782002127
611	0.4779617877
612	0.4778574904
613	0.4777726376
614	0.4777391932
615	0.4776388444
616	0.4775247191
617	0.477420273
618	0.4773176117
619	0.4772493954
620	0.477209713
621	0.4770183271
622	0.4767250531
623	0.4766240721
624	0.4764809416
625	0.4764041426
626	0.476091989
627	0.4759510185
628	0.4758608338
629	0.4757910107
630	0.4756932205
631	0.4754248089
632	0.4750448632
633	0.4749740207
634	0.4748759608
635	0.4748217671
636	0.4747650881
637	0.4745817574
638	0.4743756703
639	0.4740084141
640	0.4739422329
641	0.4738719785
642	0.4737849377
643	0.4734943062
644	0.4733839552
645	0.473245836
646	0.4731325699
647	0.4730984778
648	0.4730054715
649	0.4728903674
650	0.4727477856
651	0.4727208333
652	0.4726445059
653	0.4723396368
654	0.4722788156
655	0.4722105136
656	0.4721158001
657	0.4719414068
658	0.471865248
659	0.4717772646
660	0.4716574666
661	0.4716312457
662	0.4714835501
663	0.4714319069
664	0.4713542825
665	0.4710160747
666	0.4709247312
667	0.470834399
668	0.4707246569
669	0.4706439093
670	0.4705812979
671	0.4703579283
672	0.4703005553
673	0.4700863291
674	0.4699252563
675	0.4698688551
676	0.469783515
677	0.4696573091
678	0.4695534259
679	0.4694483603
680	0.4693432774
681	0.4691744345
682	0.469133932
683	0.4690864539
684	0.4690063517
685	0.468715994
686	0.4686323508
687	0.4685478048
688	0.4681817325
689	0.4678098638
690	0.4677392975
691	0.4676237267
692	0.4674420119
693	0.467217463
694	0.4671288993
695	0.4669498152
696	0.4667281357
697	0.4664560937
698	0.4663590209
699	0.4661986503
700	0.4661378103
701	0.4659649623
702	0.4659291846
703	0.4658884245
704	0.4657678429
705	0.4656571347
706	0.4655796295
707	0.4654847816
708	0.4652282058
709	0.4651496789
710	0.4650899163
711	0.4649485995
712	0.4646437265
713	0.4644645581
714	0.4641828383
715	0.4641341038
716	0.4640712486
717	0.4640082314
718	0.4639191752
719	0.4638647009
720	0.463807878
721	0.4637221248
722	0.4635146583
723	0.463019457
724	0.4629329369
725	0.4626030099
726	0.4625542908
727	0.4625054213
728	0.4624106809
729	0.4622809426
730	0.4620781335
731	0.4617774496
732	0.4617042081
733	0.4616273092
734	0.4615605422
735	0.4614124499
736	0.4611274907
737	0.4610324405
738	0.4609812972
739	0.4609050726
740	0.460527716
741	0.4601634535
742	0.4600934912
743	0.4600267107
744	0.4599622593
745	0.4598582836
746	0.4597892446
747	0.4594763964
748	0.4592937468
749	0.4589547384
750	0.4586862162
751	0.4585922038
752	0.4583642094
753	0.4583175565
754	0.4582367919
755	0.458209873
756	0.4581104292
757	0.4580541679
758	0.4578615977
759	0.4575504268
760	0.4573792275
761	0.4573078773
762	0.4571088355
763	0.457013642
764	0.4567739566
765	0.4566174408
766	0.456509495
767	0.4563896963
768	0.4563298164
769	0.4561716254
770	0.456110717
771	0.4558624968
772	0.4554788306
773	0.4553895945
774	0.455315641
775	0.455221257
776	0.4551178306
777	0.4547545261
778	0.4544281377
779	0.4541975792
780	0.4541475687
781	0.4540756745
782	0.4538767975
783	0.4535627933
784	0.4533729701
785	0.4533136788
786	0.4530695991
787	0.4528924575
788	0.4528483386
789	0.4527468161
790	0.452614208
791	0.4523033027
792	0.4522579909
793	0.4521184091
794	0.4520496678
795	0.4519979211
796	0.4518941923
797	0.4517980108
798	0.4517221451
799	0.4516266887
800	0.4515103169
801	0.4512951393
802	0.4512635743
803	0.4511596033
804	0.4510323209
805	0.4509612143
806	0.450898212
807	0.4506778594
808	0.4506032479
809	0.4505291933
810	0.4504584546
811	0.4503180721
812	0.4501766212
813	0.4501010659
814	0.4498736815
815	0.4498145784
816	0.4496990353
817	0.4496269846
818	0.4495599362
819	0.4494029206
820	0.4492763452
821	0.4490652986
822	0.4489209959
823	0.4485035117
824	0.448286768
825	0.4482054149
826	0.4481176096
827	0.4478935381
828	0.4478070811
829	0.4477530644
830	0.4475343863
831	0.447457233
832	0.4473551835
833	0.4473313192
834	0.4473005914
835	0.4469587369
836	0.4468985455
837	0.4468799744
838	0.4468176697
839	0.4467673301
840	0.4466767553
841	0.4465339347
842	0.4464074648
843	0.446339476
844	0.4461402575
845	0.4459610377
846	0.4458235224
847	0.4457367541
848	0.4454518656
849	0.4453971776
850	0.4452208318
851	0.4451486549
852	0.4448673437
853	0.4447673629
854	0.4446973692
855	0.4446132262
856	0.444271787
857	0.4440060946
858	0.4439188376
859	0.4438884671
860	0.4437266193
861	0.443653452
862	0.4434888483
863	0.4434420813
864	0.4432494201
865	0.4431645138
866	0.4429606532
867	0.4428711885
868	0.4427612003
869	0.4427210676
870	0.4425720922
871	0.4425016891
872	0.4424486997
873	0.4423054161
874	0.442076452
875	0.4419136112
876	0.4416094415
877	0.4415781392
878	0.4414947023
879	0.4414077736
880	0.44127217
881	0.4411879851
882	0.4409618742
883	0.440883857
884	0.4408117605
885	0.4407662457
886	0.4406882507
887	0.4405786289
888	0.4405257464
889	0.4404550147
890	0.440401036
891	0.4403323047
892	0.4401234679
893	0.4398604603
894	0.4397569224
895	0.4396882432
896	0.4396288289
897	0.4395241779
898	0.4394690585
899	0.4393664335
900	0.4391410206
901	0.4390851694
902	0.4389851894
903	0.4388733934
904	0.4388198834
905	0.4387082106
906	0.4386723224
907	0.4386280204
908	0.4385435043
909	0.4384809301
910	0.4383909498
911	0.4382363
912	0.4381061018
913	0.437971953
914	0.4378117166
915	0.4377435081
916	0.4377078416
917	0.4376113335
918	0.4375535504
919	0.4374707013
920	0.4374216989
921	0.4373722168
922	0.4372661325
923	0.4370367079
924	0.4369527352
925	0.4368807271
926	0.4367378548
927	0.4366790113
928	0.4366129033
929	0.4364873242
930	0.4364526612
931	0.4362732744
932	0.4361891514
933	0.4360771903
934	0.4358723222
935	0.4358035814
936	0.4354011391
937	0.4351158076
938	0.4348061515
939	0.4347381233
940	0.434673246
941	0.4346197865
942	0.4345731721
943	0.4344914973
944	0.4344319631
945	0.4343371096
946	0.434289237
947	0.4342077373
948	0.4340697876
949	0.4339585365
950	0.433702606
951	0.4336390599
952	0.4335714248
953	0.4334834499
954	0.4333964443
955	0.4333122389
956	0.4332735213
957	0.4332209886
958	0.4329434318
959	0.4328338373
960	0.4327746856
961	0.4325670111
962	0.432505061
963	0.4324910751
964	0.4322973094
965	0.4322349494
966	0.4321964947
967	0.4321363181
968	0.4320524535
969	0.4319793623
970	0.4319399556
971	0.4318842323
972	0.4317698893
973	0.431602233
974	0.4314908682
975	0.4312771361
976	0.431191246
977	0.4310952091
978	0.4310424334
979	0.4310065153
980	0.4308319899
981	0.4306001654
982	0.4305604216
983	0.4304131661
984	0.4303183765
985	0.4301474223
986	0.4300483443
987	0.42996996
988	0.4299162965
989	0.4296999547
990	0.4295947987
991	0.4295279418
992	0.4294408795
993	0.4293734555
994	0.4292837138
995	0.4292263714
996	0.4290887744
997	0.4288178914
998	0.4287653915
999	0.4286847239
